name,pub_date,city,salary
大数据研发工程师,10-11,上海,
Python数据分析师,10-11,上海-闵行区,0.8-1万/月
Python开发工程师（编号 02）,10-11,上海-浦东新区,0.9-1.1万/月
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
Python算法工程师,10-11,上海-静安区,1.5-2万/月
Python算法工程师,10-11,上海-浦东新区,2-3万/月
Python高级开发工程师,10-11,上海-闵行区,1.5-3万/月
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
python 爬虫工程师,10-11,上海-杨浦区,1-1.5万/月
Python开发工程师,10-11,上海,
python开发,10-11,上海-虹口区,2-3万/月
python开发,10-11,上海-虹口区,2-3万/月
python开发,10-11,上海-虹口区,2-3万/月
python开发,10-11,上海-虹口区,2-3万/月
Python高级开发工程师,10-11,上海-徐汇区,1-2万/月
Python开发工程师,10-11,上海-浦东新区,0.8-1.3万/月
Python数据工程师,10-11,上海-徐汇区,1.2-2.2万/月
Python开发工程师,10-11,上海,
软件测试（C、Python）工程师,10-11,上海,
Python算法工程师,10-11,上海-静安区,1-1.5万/月
Python研发工程师（上海）,10-11,上海,1-1.5万/月
Python量化实习工程师,10-11,上海-浦东新区,300元/天
Python初级开发工程师,10-11,上海-浦东新区,0.6-1.5万/月
Python开发工程师,10-11,上海-闵行区,0.8-1.8万/月
Python后端开发工程师,10-11,上海-杨浦区,1.5-2.5万/月
Python开发工程师,10-11,上海,
Python/Odoo开发工程师,10-11,上海,0.6-1.6万/月
Python（RPA)实施开发工程师,10-11,上海-长宁区,0.6-1万/月
Python/Odoo高级开发工程师,10-11,上海,2.5-3万/月
Python工程师,10-11,上海-徐汇区,1.5-2.2万/月
Golang/Python研发工程师,10-11,上海,
Python软件工程师,10-11,上海-徐汇区,1-1.5万/月
高级Python开发工程师 - -抖音上海,10-11,上海,2.5-5万/月
Python开发工程师,10-11,上海-静安区,1-1.5万/月
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
Python开发工程师,10-11,上海-徐汇区,1.3-1.8万/月
Python开发工程师SH,10-11,上海-虹口区,2-3万/月
Python开发工程师,10-11,上海-闵行区,1.2-2.8万/月
Python开发/深度学习,10-11,上海-普陀区,0.7-1.5万/月
自动化测试（Python/shell）,10-11,上海,1.1-1.5万/月
python程序员,10-11,上海,0.8-1万/月
Python开发工程师,10-11,上海-浦东新区,1.5-2.2万/月
Python高级开发工程师,10-11,上海-浦东新区,2-4万/月
高级Python/Django后端软件工程师,10-11,上海-长宁区,1.5-2万/月
Python/Odoo开发工程师,10-11,上海-静安区,0.7-1.2万/月
Python后端开发工程师,10-11,上海-普陀区,18-22万/年
Python后台开发工程师,10-11,上海-浦东新区,1.2-2.2万/月
python算法开发,10-11,上海-浦东新区,1.5-2万/月
python爬虫工程师,10-11,上海-浦东新区,1-1.5万/月
Scratch/Python课程设计师,10-11,上海-普陀区,0.8-1.5万/月
python开发工程师/大数据建模,10-11,上海-黄浦区,6-8千/月
Python算法工程师,10-11,上海-浦东新区,2-3万/月
Python开发工程师（编号 02）,10-11,上海-浦东新区,0.9-1.1万/月
Python高级开发工程师,10-11,上海-闵行区,1.5-3万/月
Python算法工程师,10-11,上海-静安区,1.5-2万/月
python 爬虫工程师,10-11,上海-杨浦区,1-1.5万/月
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
Python数据分析师,10-11,上海-闵行区,0.8-1万/月
大数据研发工程师,10-11,上海,
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
Python研发工程师（上海）,10-11,上海,1-1.5万/月
Python数据工程师,10-11,上海-徐汇区,1.2-2.2万/月
软件测试（C、Python）工程师,10-11,上海,
python开发工程师/大数据建模,10-11,上海-黄浦区,6-8千/月
Python算法工程师,10-11,上海-静安区,1-1.5万/月
Python高级开发工程师,10-11,上海-徐汇区,1-2万/月
Python开发工程师,10-11,上海,
Python开发工程师,10-11,上海-浦东新区,0.8-1.3万/月
Scratch/Python课程设计师,10-11,上海-普陀区,0.8-1.5万/月
python爬虫工程师,10-11,上海-浦东新区,1-1.5万/月
python算法开发,10-11,上海-浦东新区,1.5-2万/月
Python后台开发工程师,10-11,上海-浦东新区,1.2-2.2万/月
Python后端开发工程师,10-11,上海-普陀区,18-22万/年
高级Python/Django后端软件工程师,10-11,上海-长宁区,1.5-2万/月
自动化测试（Python/shell）,10-11,上海,1.1-1.5万/月
Python高级开发工程师,10-11,上海-浦东新区,2-4万/月
Python开发工程师,10-11,上海-浦东新区,1.5-2.2万/月
Python开发/深度学习,10-11,上海-普陀区,0.7-1.5万/月
Python/Odoo开发工程师,10-11,上海-静安区,0.7-1.2万/月
python程序员,10-11,上海,0.8-1万/月
Python开发工程师,10-11,上海-闵行区,1.2-2.8万/月
Python开发工程师SH,10-11,上海-虹口区,2-3万/月
Python开发工程师,10-11,上海-徐汇区,1.3-1.8万/月
Python开发工程师,10-11,上海-浦东新区,1-1.5万/月
Python开发工程师,10-11,上海-静安区,1-1.5万/月
高级Python开发工程师 - -抖音上海,10-11,上海,2.5-5万/月
Python软件工程师,10-11,上海-徐汇区,1-1.5万/月
Golang/Python研发工程师,10-11,上海,
Python工程师,10-11,上海-徐汇区,1.5-2.2万/月
Python/Odoo高级开发工程师,10-11,上海,2.5-3万/月
Python（RPA)实施开发工程师,10-11,上海-长宁区,0.6-1万/月
Python开发工程师,10-11,上海,
Python量化实习工程师,10-11,上海-浦东新区,300元/天
Python/Odoo开发工程师,10-11,上海,0.6-1.6万/月
Python后端开发工程师,10-11,上海-杨浦区,1.5-2.5万/月
python开发,10-11,上海-虹口区,2-3万/月
Python开发工程师,10-11,上海-闵行区,0.8-1.8万/月
Python初级开发工程师,10-11,上海-浦东新区,0.6-1.5万/月
python开发,10-11,上海-虹口区,2-3万/月
python开发,10-11,上海-虹口区,2-3万/月
python开发,10-11,上海-虹口区,2-3万/月
Python开发工程师,10-11,上海,
